product,category,stratum,seed,backend,relight_mode,relight_strength,ablation,format,provider,extraction_method,extraction_quality,boundary_contrast,ssim,psnr_db,lpips,edge_retention,hist_correlation,lighting_coherence,palette_consistency
tube_lets_talk,cosmetics,plain,42,procedural,graded,0.75,full,story,procedural,rembg,1.0,23.22,0.9921,31.59,0.0073,0.9683,0.9409,0.9902,0.9057
tube_lets_talk,cosmetics,plain,42,procedural,graded,0.75,full,banner,procedural,rembg,1.0,23.22,0.9933,31.68,0.0047,0.9842,0.9402,0.9916,0.8476
tube_lets_talk,cosmetics,plain,42,procedural,graded,1.0,full,square,procedural,rembg,1.0,23.22,0.9907,29.52,0.0066,0.9746,0.9159,0.9071,0.8443
tube_lets_talk,cosmetics,plain,42,procedural,graded,1.0,full,story,procedural,rembg,1.0,23.22,0.9899,29.49,0.0082,0.9665,0.9165,0.9912,0.905
tube_lets_talk,cosmetics,plain,42,procedural,graded,1.0,full,banner,procedural,rembg,1.0,23.22,0.991,29.52,0.0055,0.9825,0.9157,0.9924,0.8452
smartphone_blank,electronics,plain,42,procedural,none,0.0,full,square,procedural,rembg,1.0,137.94,0.987,30.67,0.0077,0.9776,0.9999,0.3871,0.8948
smartphone_blank,electronics,plain,42,procedural,none,0.0,full,story,procedural,rembg,1.0,137.94,0.987,30.62,0.0078,0.9795,0.9999,0.2493,0.8908
smartphone_blank,electronics,plain,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,137.94,0.9882,31.75,0.0059,0.9842,0.9999,0.0426,0.9037
smartphone_blank,electronics,plain,42,procedural,graded,0.25,full,square,procedural,rembg,1.0,137.94,0.9869,29.36,0.0087,0.9759,0.9855,0.3868,0.8922
smartphone_blank,electronics,plain,42,procedural,graded,0.25,full,story,procedural,rembg,1.0,137.94,0.9869,29.33,0.0089,0.9775,0.9855,0.2485,0.885
smartphone_blank,electronics,plain,42,procedural,graded,0.25,full,banner,procedural,rembg,1.0,137.94,0.9881,30.12,0.0068,0.9827,0.9855,0.0424,0.8995
smartphone_blank,electronics,plain,42,procedural,graded,0.5,full,square,procedural,rembg,1.0,137.94,0.9863,26.98,0.0111,0.9747,-0.0368,0.3846,0.918
smartphone_blank,electronics,plain,42,procedural,graded,0.5,full,story,procedural,rembg,1.0,137.94,0.9863,26.96,0.0112,0.9764,-0.0368,0.2476,0.8826
