product,category,stratum,seed,backend,relight_mode,relight_strength,ablation,format,provider,extraction_method,extraction_quality,boundary_contrast,ssim,psnr_db,lpips,edge_retention,hist_correlation,lighting_coherence,palette_consistency
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_shadow,banner,diffusers-turbo,rembg,1.0,104.12,0.9869,30.71,0.0165,0.9423,0.9852,0.0139,0.7145
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_rim,square,diffusers-turbo,rembg,1.0,104.12,0.9896,32.36,0.016,0.9445,0.9854,0.2354,0.804
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_rim,story,diffusers-turbo,rembg,1.0,104.12,0.9891,31.97,0.0188,0.9453,0.9852,0.0516,0.7976
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_rim,banner,diffusers-turbo,rembg,1.0,104.12,0.9881,30.84,0.0211,0.9487,0.9852,0.0061,0.7154
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_brand,square,diffusers-turbo,rembg,1.0,104.12,0.9879,31.7,0.0153,0.9417,0.9853,0.0017,0.814
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_brand,story,diffusers-turbo,rembg,1.0,104.12,0.9879,31.8,0.0149,0.9403,0.9853,0.0955,0.7882
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_brand,banner,diffusers-turbo,rembg,1.0,104.12,0.9876,31.34,0.0154,0.9406,0.9853,0.004,0.7532
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_coord,square,diffusers-turbo,rembg,1.0,104.12,0.9857,30.03,0.0201,0.9451,0.9848,0.0295,0.6833
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_coord,story,diffusers-turbo,rembg,1.0,104.12,0.9852,29.72,0.0216,0.946,0.9848,0.002,0.6617
sunglasses_black,eyewear,white,44,diffusers,none,0.0,no_coord,banner,diffusers-turbo,rembg,1.0,104.12,0.9852,29.66,0.0216,0.9466,0.9847,0.002,0.6621
sunglasses_black,eyewear,white,44,diffusers,none,0.0,naive,square,diffusers-turbo,rembg,1.0,104.12,0.9867,29.82,0.0268,0.9546,0.9848,0.3741,0.6981
sunglasses_black,eyewear,white,44,diffusers,none,0.0,naive,story,diffusers-turbo,rembg,1.0,104.12,0.9862,29.47,0.0287,0.9556,0.9847,0.1201,0.6612
sunglasses_black,eyewear,white,44,diffusers,none,0.0,naive,banner,diffusers-turbo,rembg,1.0,104.12,0.9868,29.84,0.0261,0.9534,0.9848,0.0002,0.6749
sunglasses_blue,eyewear,white,42,procedural,none,0.0,full,square,procedural,rembg,1.0,145.12,0.9909,35.8,0.0118,0.9182,0.9996,0.1049,0.9602
sunglasses_blue,eyewear,white,42,procedural,none,0.0,full,story,procedural,rembg,1.0,145.12,0.9912,36.17,0.0111,0.9212,0.9996,0.2375,0.952
sunglasses_blue,eyewear,white,42,procedural,none,0.0,full,banner,procedural,rembg,1.0,145.12,0.9926,37.83,0.0084,0.9276,0.9997,0.2917,0.9494
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_shadow,square,procedural,rembg,1.0,145.12,0.9908,35.71,0.0118,0.9183,0.9996,0.3326,0.9626
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_shadow,story,procedural,rembg,1.0,145.12,0.9912,36.07,0.0112,0.9211,0.9996,0.7804,0.9509
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_shadow,banner,procedural,rembg,1.0,145.12,0.9926,37.73,0.0084,0.9274,0.9997,0.5112,0.9514
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_rim,square,procedural,rembg,1.0,145.12,0.9922,35.8,0.0131,0.9174,0.9996,0.1049,0.9602
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_rim,story,procedural,rembg,1.0,145.12,0.9925,36.17,0.0122,0.9203,0.9996,0.2375,0.9519
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_rim,banner,procedural,rembg,1.0,145.12,0.9936,37.83,0.0091,0.9252,0.9997,0.2917,0.9498
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_brand,square,procedural,rembg,1.0,145.12,0.9939,38.9,0.0063,0.9337,0.9997,0.0,0.9507
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_brand,story,procedural,rembg,1.0,145.12,0.9938,38.87,0.0063,0.9339,0.9997,0.0001,0.9204
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_brand,banner,procedural,rembg,1.0,145.12,0.9944,39.68,0.0054,0.9362,0.9998,0.2125,0.9226
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_coord,square,procedural,rembg,1.0,145.12,0.9907,35.87,0.0116,0.9174,0.9996,0.0013,0.9623
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_coord,story,procedural,rembg,1.0,145.12,0.9911,36.24,0.0109,0.92,0.9996,0.0091,0.9539
sunglasses_blue,eyewear,white,42,procedural,none,0.0,no_coord,banner,procedural,rembg,1.0,145.12,0.9918,37.13,0.0094,0.9216,0.9997,0.2188,0.9488
sunglasses_blue,eyewear,white,42,procedural,none,0.0,naive,square,procedural,rembg,1.0,145.12,0.9946,38.8,0.0069,0.9277,0.9997,0.0002,0.9486
sunglasses_blue,eyewear,white,42,procedural,none,0.0,naive,story,procedural,rembg,1.0,145.12,0.9946,38.77,0.0069,0.9279,0.9997,0.9997,0.9207
sunglasses_blue,eyewear,white,42,procedural,none,0.0,naive,banner,procedural,rembg,1.0,145.12,0.9951,39.58,0.0059,0.93,0.9998,0.4942,0.9222
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,full,square,diffusers-turbo,rembg,1.0,145.12,0.9906,34.56,0.0121,0.911,0.9997,0.1952,0.8835
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,full,story,diffusers-turbo,rembg,1.0,145.12,0.9899,33.89,0.0138,0.9125,0.9996,0.1615,0.8878
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,full,banner,diffusers-turbo,rembg,1.0,145.12,0.9915,35.33,0.0105,0.9185,0.9997,0.7821,0.8783
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_shadow,square,diffusers-turbo,rembg,1.0,145.12,0.9906,34.47,0.0122,0.9109,0.9997,0.3757,0.8838
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_shadow,story,diffusers-turbo,rembg,1.0,145.12,0.9899,33.82,0.014,0.9127,0.9995,0.7742,0.8871
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_shadow,banner,diffusers-turbo,rembg,1.0,145.12,0.9915,35.24,0.0106,0.919,0.9997,0.9269,0.88
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_rim,square,diffusers-turbo,rembg,1.0,145.12,0.9922,34.56,0.0143,0.9138,0.9997,0.1952,0.8836
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_rim,story,diffusers-turbo,rembg,1.0,145.12,0.9915,33.89,0.0163,0.9151,0.9996,0.1615,0.8875
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_rim,banner,diffusers-turbo,rembg,1.0,145.12,0.9929,35.33,0.0119,0.9181,0.9997,0.7821,0.8787
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_brand,square,diffusers-turbo,rembg,1.0,145.12,0.9892,33.3,0.0153,0.9067,0.9996,0.0988,0.8851
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_brand,story,diffusers-turbo,rembg,1.0,145.12,0.9899,33.88,0.0138,0.9119,0.9996,0.0058,0.873
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_brand,banner,diffusers-turbo,rembg,1.0,145.12,0.9903,34.34,0.0127,0.9106,0.9996,0.3775,0.8738
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_coord,square,diffusers-turbo,rembg,1.0,145.12,0.9873,31.66,0.0202,0.9079,0.9995,0.1757,0.8989
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_coord,story,diffusers-turbo,rembg,1.0,145.12,0.9874,31.57,0.0204,0.909,0.9995,0.0003,0.9038
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,no_coord,banner,diffusers-turbo,rembg,1.0,145.12,0.9882,32.43,0.0176,0.9079,0.9995,0.361,0.8847
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,naive,square,diffusers-turbo,rembg,1.0,145.12,0.9892,31.13,0.0255,0.9207,0.9995,0.354,0.9036
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,naive,story,diffusers-turbo,rembg,1.0,145.12,0.9895,31.39,0.0245,0.9198,0.9995,0.0752,0.9045
sunglasses_blue,eyewear,white,42,diffusers,none,0.0,naive,banner,diffusers-turbo,rembg,1.0,145.12,0.9899,31.86,0.0229,0.9173,0.9995,0.5715,0.8807
sunglasses_blue,eyewear,white,43,procedural,none,0.0,full,square,procedural,rembg,1.0,145.12,0.9912,35.99,0.0117,0.9192,0.9996,0.0013,0.963
sunglasses_blue,eyewear,white,43,procedural,none,0.0,full,story,procedural,rembg,1.0,145.12,0.9916,36.37,0.011,0.9227,0.9997,0.0351,0.9518
sunglasses_blue,eyewear,white,43,procedural,none,0.0,full,banner,procedural,rembg,1.0,145.12,0.9923,37.25,0.0095,0.9259,0.9997,0.5719,0.9491
sunglasses_blue,eyewear,white,43,procedural,none,0.0,no_shadow,square,procedural,rembg,1.0,145.12,0.9911,35.78,0.0119,0.9189,0.9996,0.004,0.964
sunglasses_blue,eyewear,white,43,procedural,none,0.0,no_shadow,story,procedural,rembg,1.0,145.12,0.9915,36.15,0.0112,0.9223,0.9996,0.9711,0.9512
sunglasses_blue,eyewear,white,43,procedural,none,0.0,no_shadow,banner,procedural,rembg,1.0,145.12,0.9923,37.03,0.0096,0.9257,0.9997,0.772,0.9491
sunglasses_blue,eyewear,white,43,procedural,none,0.0,no_rim,square,procedural,rembg,1.0,145.12,0.9922,35.99,0.0126,0.9168,0.9996,0.0013,0.9632
sunglasses_blue,eyewear,white,43,procedural,none,0.0,no_rim,story,procedural,rembg,1.0,145.12,0.9925,36.37,0.0119,0.9196,0.9997,0.0351,0.952
sunglasses_blue,eyewear,white,43,procedural,none,0.0,no_rim,banner,procedural,rembg,1.0,145.12,0.9931,37.25,0.0102,0.9202,0.9997,0.5719,0.949
sunglasses_blue,eyewear,white,43,procedural,none,0.0,no_brand,square,procedural,rembg,1.0,145.12,0.9941,39.03,0.0062,0.9358,0.9998,0.0001,0.9487
sunglasses_blue,eyewear,white,43,procedural,none,0.0,no_brand,story,procedural,rembg,1.0,145.12,0.9941,38.99,0.0063,0.936,0.9998,0.0001,0.9094
sunglasses_blue,eyewear,white,43,procedural,none,0.0,no_brand,banner,procedural,rembg,1.0,145.12,0.9946,39.8,0.0055,0.9383,0.9998,0.7359,0.9213
